assay_chembl_id,canonical_smiles,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,IC50_nM,pIC50
CHEMBL3707802,CC(=O)N(C)[C@@H]1[C@H](N)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1C,CHEMBL3639088,CHEMBL3687475,nM,2800.0,nM,2800.0,2800.0,5.552841968657781
CHEMBL3707802,COCc1cn([C@@H]2[C@H](N)CN(c3ccncc3NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)C[C@@H]2C)nn1,CHEMBL3639088,CHEMBL3687427,nM,1.72,nM,1.72,1.72,8.76447155309245
CHEMBL3707781,Cc1ccc(F)c(-c2nc(C(=O)Nc3cnccc3[C@@H]3CCC[C@H](N)C3)ccc2F)c1F,CHEMBL3638421,CHEMBL3651916,nM,7.0,nM,7.0,7.0,8.154901959985743
CHEMBL3707781,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnccc3[C@@H]3C[C@H](N)C[C@H](N)C3)n2)c1F,CHEMBL3638421,CHEMBL3651925,nM,4.0,nM,4.0,4.0,8.397940008672037
CHEMBL3707781,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2cccc(-c3ccc(O)cc3F)n2)C1,CHEMBL3638421,CHEMBL3651933,nM,7.0,nM,7.0,7.0,8.154901959985743
CHEMBL3707781,C[C@H]1CN(c2ccncc2NC(=O)c2cccc(-c3c(F)cccc3F)n2)C[C@@H](N)[C@@H]1O,CHEMBL3638421,CHEMBL3651922,nM,2.0,nM,2.0,2.0,8.698970004336019
CHEMBL3707781,N[C@H]1CCC[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3cc(F)cc(F)c3F)n2)C1,CHEMBL3638421,CHEMBL3651910,nM,40.0,nM,40.0,40.0,7.3979400086720375
CHEMBL3707802,COC(=O)N[C@@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C4(F)CCOCC4)cc3F)n2)C[C@@H]1C,CHEMBL3639088,CHEMBL3691984,nM,23.47,nM,23.47,23.47,7.629486910401408
CHEMBL3707802,CO[C@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1C,CHEMBL3639088,CHEMBL3687485,nM,3.37,nM,3.37,3.37,8.47237009912866
CHEMBL3707802,COC(=O)N[C@@H]1[C@H](N)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C)cc3F)n2)C[C@@H]1C,CHEMBL3639088,CHEMBL3687490,nM,0.82,nM,0.82,0.82,9.086186147616283
